ZIP,num_sch,num_work,num_personal,num_pickdrop,num_discret,num_shop,num_home,num_em,num_m,num_aft,num_evn,num_walk,num_bike,num_taxi,num_local_bus,num_inter_rail,num_intra_rail,num_auto,num_other
90814,3,13,4,4,12,10,18,13,68,67,66,45,2,0,4,0,0,141,0
90815,46,37,9,43,88,46,27,23,218,182,157,45,19,0,8,0,0,468,0
90822,1,15,4,0,1,0,0,4,8,6,1,0,0,0,0,0,0,20,0
90831,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
90834,0,0,0,0,0,2,0,0,2,2,0,0,4,0,0,0,0,0,0
90840,3,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0
90846,0,3,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,2,0
91001,22,28,6,13,58,21,69,31,178,167,220,38,7,0,6,0,0,444,0
91006,15,31,10,18,34,21,29,10,108,115,98,19,3,0,9,0,1,267,0
91007,20,36,9,20,53,25,27,11,101,112,109,10,1,0,3,2,2,288,0
91008,0,0,0,0,4,0,2,0,4,1,5,0,0,0,0,0,0,6,0
91010,24,23,9,10,24,44,39,20,83,114,130,37,12,5,3,0,0,254,0
91011,39,57,3,51,39,37,33,12,167,148,112,23,1,0,1,0,0,385,0
91012,0,0,0,0,0,0,3,0,4,3,2,0,0,0,0,0,0,7,0
91016,25,38,12,28,81,42,49,32,176,160,208,68,8,0,5,0,0,447,0
91020,3,7,3,4,12,15,0,3,35,30,38,5,0,0,3,0,0,86,0
91024,18,15,2,13,40,4,35,11,94,87,70,40,5,0,3,0,0,195,0
91030,37,18,7,38,54,32,55,27,169,178,190,103,13,0,1,1,5,382,0
91040,14,10,4,9,17,7,25,15,75,97,89,18,5,0,0,0,0,222,0
91042,10,10,0,8,8,19,29,12,41,71,51,3,8,0,1,0,0,142,0
91101,12,105,14,10,56,54,7,23,161,146,94,103,9,1,9,3,6,287,0
91103,11,28,10,27,63,22,21,10,143,129,101,40,1,0,7,0,3,307,0
91104,22,17,6,35,25,23,43,19,131,114,177,50,8,0,13,0,0,313,0
91105,8,34,27,16,33,34,11,7,110,111,113,46,1,0,6,0,4,280,0
91106,18,42,14,32,34,28,21,17,114,135,127,51,11,0,1,0,2,311,0
91107,28,59,16,34,77,112,27,21,210,242,192,55,10,0,4,1,5,540,0
91108,10,33,4,16,40,0,12,7,89,77,59,5,4,0,0,0,0,204,0
91109,0,12,0,0,0,0,0,2,9,3,2,0,1,0,0,0,0,15,0
91121,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
91123,3,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,6,0
91124,0,2,0,2,0,1,0,0,6,4,0,2,0,0,1,0,1,7,0
91125,0,18,0,1,3,0,0,0,14,10,0,4,4,0,0,0,0,16,0
91182,2,4,1,0,3,0,0,0,4,5,0,2,0,0,0,0,0,9,0
91184,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0
91188,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0
91189,0,1,0,0,0,2,0,1,4,5,0,4,0,0,0,0,0,7,0
91201,0,53,5,2,11,12,19,14,57,76,50,8,6,0,2,0,0,159,0
91202,11,8,2,12,20,11,9,7,43,59,39,11,0,0,2,0,0,122,0
91203,0,32,3,2,8,2,4,5,37,41,32,12,0,0,1,0,0,93,0
91204,1,15,14,2,7,13,2,6,57,41,36,37,5,0,12,2,0,72,0
91205,10,14,2,4,10,16,11,1,62,73,53,76,5,0,11,2,0,89,0
91206,10,29,4,14,14,37,16,6,83,66,53,34,1,0,4,0,0,147,0
91207,0,3,2,2,4,0,7,2,26,31,33,3,0,0,0,0,0,76,0
91208,8,8,3,17,23,3,9,11,51,52,47,23,2,0,2,0,0,119,0
91209,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
91210,0,7,0,1,2,21,0,0,7,23,9,10,0,0,3,0,0,29,0
91214,41,23,8,45,38,34,30,24,129,145,129,33,1,0,1,0,0,361,0
91301,13,43,8,14,37,16,17,16,94,97,103,17,13,0,2,0,0,259,0
91302,12,28,6,9,17,11,16,11,52,54,77,10,6,0,2,0,0,164,0
91303,5,25,4,13,9,33,11,3,63,72,32,18,1,0,8,0,0,136,0
91304,13,23,0,14,27,13,34,17,89,93,119,3,7,0,1,0,0,264,0
91306,12,5,0,6,8,4,21,11,59,64,70,4,0,0,1,0,0,162,0
91307,5,13,11,14,33,30,15,11,73,91,91,28,1,0,5,0,0,222,0
91311,14,64,7,20,69,13,34,24,133,153,120,32,4,0,10,1,1,339,0
91316,8,11,9,22,18,10,6,4,44,68,33,7,2,0,5,0,1,134,0
91320,35,62,7,48,58,51,51,26,276,204,198,47,9,0,1,0,0,586,0
91321,13,20,7,17,45,8,17,18,93,78,72,25,22,0,9,0,0,182,0
91324,10,31,8,16,30,57,15,13,103,114,101,16,6,0,3,1,1,286,0
91325,14,21,8,9,24,10,16,12,71,74,72,27,8,0,7,0,0,165,0
91326,13,10,5,8,30,19,26,13,62,84,95,16,6,0,0,0,0,207,0
91328,0,0,0,0,2,0,0,0,2,3,1,2,0,0,2,0,0,3,0
91330,19,20,2,7,5,0,0,0,36,17,4,7,2,0,0,0,0,50,0
91331,25,20,1,21,28,16,19,27,106,102,105,44,1,0,10,0,3,260,0
91335,15,16,4,14,22,27,14,10,91,101,87,54,5,0,13,0,0,188,0
91340,20,8,4,11,7,15,15,18,71,61,50,60,2,0,9,0,1,101,0
91342,15,44,7,5,66,15,20,25,124,100,104,27,31,1,3,1,0,234,0
91343,20,18,3,5,16,5,27,11,63,68,53,19,2,0,6,0,0,150,0
91344,30,29,10,24,42,41,28,14,133,141,108,42,4,0,6,0,1,301,0
91345,4,12,5,6,8,3,4,2,29,19,21,4,0,0,2,0,1,59,0
91350,18,20,3,25,44,26,54,17,122,130,141,11,8,0,2,0,0,334,0
91351,6,9,6,16,26,11,21,13,63,65,72,18,8,0,3,0,0,156,0
91352,12,26,3,8,9,9,12,7,62,53,27,17,2,0,5,2,0,117,0
91354,5,8,0,2,25,17,13,7,63,45,59,10,0,0,3,0,0,131,0
91355,19,109,24,38,69,62,18,22,193,193,115,23,11,0,3,0,0,472,0
91356,10,13,8,9,13,9,15,7,58,50,52,10,0,0,4,0,0,137,0
91360,30,67,28,54,89,71,39,19,281,264,231,46,18,0,1,0,0,665,0
91361,9,33,18,16,43,7,20,14,103,127,95,23,18,2,2,0,0,269,0
91362,29,51,9,33,68,75,41,29,184,199,140,19,11,2,7,0,0,469,0
91364,8,34,18,8,18,18,18,13,79,89,69,11,5,0,2,0,0,203,0
91367,23,75,11,23,46,21,31,28,144,118,115,31,0,1,9,1,0,327,0
91371,4,0,0,4,3,0,0,0,6,5,3,1,0,0,1,0,0,12,0
91377,6,5,3,8,18,5,26,11,45,61,42,13,0,1,0,0,0,121,0
91381,16,11,3,10,3,11,6,8,43,44,54,18,3,0,1,0,0,118,0
91384,2,7,2,7,11,5,11,5,33,39,35,7,0,0,0,0,0,95,0
91387,9,9,3,13,19,16,16,17,57,80,88,12,0,0,3,0,0,198,0
91390,4,4,0,6,16,1,15,3,18,35,43,14,2,0,1,0,0,72,0
91401,12,19,9,6,20,15,18,11,99,91,65,40,2,1,23,0,4,177,0
91402,13,14,13,5,13,15,6,12,44,63,35,14,6,1,3,0,0,124,0
91403,4,19,8,13,33,20,11,10,82,77,57,23,6,0,5,0,0,170,0
91405,12,28,4,3,22,16,16,20,87,76,56,65,4,0,22,1,0,132,0
91406,5,43,3,9,35,10,7,13,77,67,75,40,3,0,12,0,0,164,0
91411,2,19,5,3,7,30,9,1,49,71,40,24,3,0,5,0,0,122,0
91413,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
91423,3,13,6,8,39,25,5,4,58,76,66,11,2,0,3,0,0,170,0
91436,2,22,14,6,10,6,2,1,46,36,23,4,1,0,0,0,0,96,0
91501,7,5,0,4,19,0,11,10,39,26,46,20,1,0,2,0,0,82,0
91502,3,39,8,14,16,62,2,12,70,94,53,28,0,1,10,2,0,194,0
91504,7,21,5,19,32,44,16,25,100,121,79,23,4,0,6,0,0,258,0
91505,14,110,20,31,27,53,10,24,158,173,139,49,8,3,7,1,0,394,20
91506,13,16,6,13,28,22,15,21,67,90,52,40,14,0,0,0,0,160,0
91521,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0
91523,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0
91601,10,24,5,17,21,14,10,9,82,54,90,36,15,0,11,14,3,136,0
91602,5,21,5,15,20,6,5,7,53,39,42,17,4,1,0,0,1,101,0
91604,9,38,4,13,29,28,12,15,83,78,82,19,6,0,2,12,1,202,0
91605,4,15,2,6,14,16,6,7,61,46,51,27,5,0,10,0,0,112,0
91606,10,18,13,4,18,19,13,8,69,76,50,45,3,0,23,0,0,116,0
91607,6,7,3,7,17,8,31,12,56,50,78,12,0,0,5,0,0,155,0
91608,0,3,0,0,1,0,0,0,2,2,0,1,0,0,1,0,0,2,0
91701,18,14,6,20,21,18,36,23,86,108,119,19,8,0,4,0,0,268,0
91702,18,21,1,20,19,19,9,16,65,63,53,16,0,0,2,0,0,157,0
91706,17,37,5,7,38,7,13,13,66,75,73,25,5,0,8,0,0,183,0
91708,10,7,0,3,4,0,13,4,30,20,21,32,0,0,0,0,0,39,0
91709,16,25,11,17,49,51,33,35,129,137,141,24,1,0,1,0,0,367,0
91710,29,51,16,31,61,71,25,34,156,199,125,21,4,0,3,0,0,481,0
91711,47,50,14,39,79,40,51,30,230,238,212,92,25,0,7,2,0,511,0
91722,0,17,0,4,5,18,16,6,62,54,50,10,1,1,2,0,1,127,0
91723,3,14,12,6,7,12,7,9,33,48,34,9,2,0,3,1,0,114,0
